日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2022/01/03,27.632,4.344414,1.1341,115.3,1.3506,0.72585,7.7986,6.36035,15.87655,0.6838
2022/01/04,27.642,4.332801,1.12995,115.735,1.34985,0.72125,7.79555,6.3797,15.8874,0.67935
2022/01/05,27.621,4.332243,1.1306,116,1.3546,0.72345,7.79395,6.3757,16.04185,0.67975
2022/01/06,27.651,4.332386,1.1295,115.825,1.35065,0.7154,7.80045,6.3824,15.8809,0.67405
2022/01/07,27.69,4.338995,1.1305,115.915,1.3537,0.7153,7.80075,6.38165,15.71495,0.67475
2022/01/10,27.668,4.336848,1.1324,115.785,1.35805,0.7192,7.79765,6.37975,15.64075,0.6773
2022/01/11,27.684,4.339329,1.13425,115.295,1.3612,0.71875,7.79655,6.3798,15.6035,0.6773
2022/01/12,27.668,4.343599,1.1365,115.415,1.36395,0.721,7.7957,6.36985,15.4832,0.6782
2022/01/13,27.648,4.344717,1.1473,114.425,1.3737,0.7308,7.79055,6.3636,15.294,0.68765
2022/01/14,27.624,4.353266,1.147,113.785,1.37305,0.729,7.78535,6.3456,15.3221,0.68695
2022/01/17,27.607,4.345121,1.14235,114.355,1.36795,0.7212,7.78725,6.35355,15.38695,0.68095
2022/01/18,27.624,4.34578,1.1398,114.785,1.36405,0.7194,7.79315,6.3565,15.4552,0.6776
2022/01/19,27.651,4.351604,1.1334,114.395,1.3596,0.71885,7.792,6.3542,15.4627,0.6785
2022/01/20,27.636,4.354466,1.13655,114.335,1.3636,0.72385,7.78895,6.3466,15.24515,0.6778
2022/01/21,27.702,4.365669,1.1335,113.895,1.3563,0.71905,7.78815,6.3454,15.16775,0.67195
2022/01/24,27.696,4.371177,1.1314,113.755,1.3546,0.7162,7.7859,6.33605,15.13345,0.6715
2022/01/25,27.717,4.377429,1.1308,113.885,1.3486,0.7145,7.78575,6.3318,15.3013,0.66805
2022/01/26,27.745,4.385014,1.1295,114.035,1.3507,0.71595,7.7851,6.32725,15.1894,0.66915
2022/02/07,27.841,4.378053,1.14355,115.215,1.35455,0.7099,7.79245,6.3592,15.44745,0.6633
2022/02/08,27.838,4.367281,1.14045,115.415,1.35325,0.71285,7.79615,6.3742,15.5344,0.6641
2022/02/09,27.822,4.369918,1.1415,115.375,1.3549,0.7154,7.79315,6.3667,15.33385,0.6654
2022/02/10,27.825,4.374034,1.14295,115.605,1.35505,0.71925,7.79415,6.3614,15.1479,0.66965
2022/02/11,27.846,4.376779,1.1391,115.955,1.354,0.7134,7.80285,6.3622,15.08645,0.6653
2022/02/14,27.873,4.38013,1.1338,115.315,1.3524,0.7117,7.80315,6.3635,15.17325,0.6617
2022/02/15,27.892,4.391289,1.133,115.535,1.355,0.71395,7.80345,6.35165,15.03165,0.6642
2022/02/16,27.892,4.402696,1.13785,115.665,1.3563,0.7178,7.8008,6.3352,15.07825,0.66555
2022/02/17,27.872,4.401686,1.1379,115.295,1.35955,0.7209,7.80135,6.3321,14.9928,0.6705
2022/02/18,27.87,4.408867,1.137,115.145,1.36265,0.72195,7.801,6.32135,14.9715,0.6725
2022/02/21,27.83,4.39881,1.13855,114.915,1.3636,0.72195,7.80085,6.3267,15.11655,0.6722
2022/02/22,27.88,4.400217,1.1312,114.805,1.35735,0.7206,7.80275,6.33605,15.164,0.6715
2022/02/23,27.884,4.413954,1.1338,115.075,1.36095,0.7251,7.8032,6.31725,15.0301,0.6788
2022/02/24,28.023,4.432818,1.12535,114.665,1.3484,0.71845,7.80835,6.3217,15.26425,0.6723
2022/02/25,28.021,4.437742,1.11885,115.315,1.33945,0.71945,7.80765,6.31425,15.35665,0.6705
2022/03/01,28.02,4.436295,1.1217,114.965,1.3421,0.7279,7.8143,6.3161,15.2995,0.6785
2022/03/02,28.07,4.444407,1.10815,115.235,1.3277,0.7253,7.81605,6.3158,15.4867,0.6764
2022/03/03,28.061,4.437061,1.1093,115.775,1.3388,0.7311,7.81385,6.32425,15.3062,0.67825
2022/03/04,28.115,4.444982,1.1012,115.425,1.33175,0.7362,7.8171,6.3251,15.25485,0.68275
2022/03/07,28.25,4.467851,1.0873,115.045,1.3191,0.74125,7.81375,6.32295,15.3548,0.68965
2022/03/08,28.362,4.488428,1.0908,115.425,1.31195,0.7287,7.8217,6.3189,15.3218,0.6827
2022/03/09,28.435,4.496938,1.0926,115.835,1.31255,0.7302,7.81965,6.3232,15.1863,0.68285
2022/03/10,28.345,4.479049,1.1041,115.915,1.31675,0.7339,7.8196,6.32835,15.0726,0.6844
2022/03/11,28.403,4.48668,1.0977,116.825,1.3079,0.734,7.82365,6.3305,15.0817,0.6848
2022/03/14,28.53,4.472677,1.09395,117.755,1.3047,0.7253,7.82775,6.37875,15.0657,0.6789
2022/03/15,28.612,4.472885,1.1014,117.985,1.3035,0.7197,7.82405,6.39675,15.1052,0.6754
2022/03/16,28.625,4.500852,1.09675,118.345,1.30395,0.72235,7.82205,6.3599,15.07315,0.67835
2022/03/17,28.456,4.474991,1.105,118.725,1.3176,0.73265,7.82085,6.3589,14.92955,0.6848
2022/03/18,28.36,4.448351,1.1076,118.915,1.31475,0.73965,7.81925,6.3754,14.92835,0.6897
2022/03/21,28.487,4.470237,1.10585,119.225,1.3163,0.7399,7.82525,6.3726,14.95665,0.6899
2022/03/22,28.543,4.479453,1.0992,120.425,1.3156,0.73955,7.82745,6.372,14.9025,0.6885
2022/03/23,28.551,4.468146,1.102,121.035,1.3251,0.74565,7.82595,6.3899,14.82475,0.6954
2022/03/24,28.602,4.48159,1.0984,121.525,1.3185,0.7475,7.82395,6.3821,14.7832,0.6951
2022/03/25,28.613,4.485431,1.1015,121.595,1.3177,0.75035,7.82655,6.3791,14.56315,0.6959
2022/03/28,28.755,4.500416,1.0955,123.905,1.315,0.7531,7.82865,6.3894,14.56305,0.6947
2022/03/29,28.765,4.505289,1.1,123.585,1.3095,0.74985,7.82765,6.3847,14.70515,0.68925
2022/03/30,28.58,4.491204,1.1124,121.725,1.3131,0.75175,7.82725,6.36355,14.4856,0.69625
2022/03/31,28.622,4.506162,1.1136,121.895,1.3131,0.7474,7.82935,6.35175,14.439,0.694
2022/04/01,28.705,4.510445,1.1068,122.715,1.3123,0.75035,7.8343,6.3641,14.56415,0.6931
2022/04/06,28.77,4.516257,1.0895,123.915,1.3074,0.7578,7.83935,6.3703,14.66875,0.6955
