日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2020/01/06,30.11,4.318346,1.1163,108.075,1.30655,0.6948,7.7724,6.9726,14.32025,0.66615
2020/01/07,30.082,4.335538,1.11755,108.385,1.3154,0.6905,7.7739,6.93845,14.1705,0.666
2020/01/08,30.087,4.33674,1.1143,108.425,1.3147,0.6879,7.77915,6.9377,14.26045,0.6667
2020/01/09,30.008,4.330905,1.11065,109.335,1.31025,0.6869,7.77215,6.9288,14.1273,0.6635
2020/01/10,30.019,4.333213,1.1108,109.57,1.30655,0.68765,7.76595,6.92765,14.21365,0.6625
2020/01/13,29.952,4.343998,1.1124,109.645,1.2998,0.69125,7.7716,6.89505,14.3365,0.6646
2020/01/14,29.942,4.349914,1.1136,109.965,1.2955,0.6903,7.77405,6.88335,14.4499,0.6628
2020/01/15,29.95,4.346823,1.1122,109.915,1.3009,0.689,7.77725,6.8901,14.409,0.661
2020/01/16,29.955,4.348867,1.1152,109.975,1.3028,0.6907,7.7711,6.888,14.39595,0.6637
2020/01/17,29.96,4.364753,1.1138,110.215,1.30815,0.69075,7.76985,6.8641,14.3643,0.6646
2020/01/20,29.96,4.365382,1.10895,110.155,1.29765,0.68735,7.76915,6.8631,14.5279,0.6613
2020/01/30,30.277,4.328309,1.10145,108.895,1.2984,0.6731,7.76855,6.9951,14.6823,0.6505
2020/01/31,30.25,4.333403,1.10275,109.045,1.313,0.6707,7.76925,6.98065,14.7923,0.6471
2020/02/03,30.332,4.321461,1.1077,108.535,1.3147,0.6695,7.7685,7.0189,14.9376,0.64675
2020/02/04,30.207,4.320537,1.1056,108.945,1.29605,0.67185,7.76895,6.9915,14.8117,0.6466
2020/02/05,30.152,4.306248,1.1044,109.345,1.3046,0.6741,7.7644,7.0019,14.8205,0.6484
2020/02/06,30.082,4.315112,1.1002,109.905,1.29915,0.6751,7.7633,6.9713,14.73,0.6466
2020/02/07,30.126,4.311904,1.09685,109.905,1.29315,0.6706,7.76115,6.9867,14.9919,0.64405
2020/02/10,30.102,4.30883,1.0946,109.845,1.28835,0.6697,7.76475,6.9861,15.014,0.64075
2020/02/11,30.068,4.307872,1.0908,109.915,1.2897,0.6707,7.76335,6.9798,14.92815,0.6385
2020/02/12,30.032,4.305388,1.0917,109.885,1.2969,0.6732,7.76805,6.97545,14.78,0.6464
2020/02/13,30.037,4.301749,1.08805,109.735,1.2975,0.67255,7.76855,6.9825,14.96025,0.64555
2020/02/14,30.051,4.301741,1.08345,109.775,1.3052,0.67255,7.7672,6.9858,14.88945,0.6434
2020/02/17,30.056,4.305011,1.084,109.865,1.3042,0.6726,7.76665,6.98165,14.8793,0.643
2020/02/18,30.125,4.300163,1.0828,109.765,1.2976,0.6686,7.7684,7.00555,15.0167,0.64095
2020/02/19,30.152,4.307877,1.08,110.075,1.30015,0.66955,7.77105,6.99925,14.96755,0.6395
2020/02/20,30.254,4.307928,1.0789,111.745,1.28955,0.66375,7.77715,7.02285,15.0643,0.63455
2020/02/21,30.403,4.310203,1.07965,111.585,1.28955,0.6591,7.78995,7.05375,15.1692,0.6307
2020/02/24,30.472,4.327359,1.0823,111.475,1.2929,0.65925,7.7927,7.0417,15.157,0.6309
2020/02/25,30.402,4.329458,1.0854,110.665,1.29505,0.66115,7.7886,7.02215,15.1187,0.63345
2020/02/26,30.383,4.320979,1.08795,110.455,1.299,0.65775,7.79095,7.0315,15.2246,0.6309
2020/02/27,30.33,4.318689,1.09285,110.03,1.29145,0.65645,7.7964,7.02295,15.3078,0.6307
2020/03/02,30.124,4.329783,1.10845,108.375,1.27755,0.6566,7.7788,6.9574,15.46135,0.6264
2020/03/03,30.087,4.309963,1.11255,108.025,1.2796,0.65635,7.78075,6.9808,15.4663,0.6274
2020/03/04,30.038,4.331359,1.11675,107.375,1.2792,0.6599,7.76875,6.935,15.4147,0.6282
2020/03/05,29.96,4.318824,1.1132,107.27,1.2887,0.66275,7.77055,6.93705,15.3171,0.6307
2020/03/06,30.04,4.326661,1.12395,105.845,1.297,0.6637,7.7718,6.943,15.61445,0.63545
2020/03/09,30.13,4.337093,1.14195,102.395,1.3165,0.655,7.76875,6.94705,16.13755,0.6272
2020/03/10,30.036,4.323292,1.13965,103.975,1.3064,0.6562,7.76865,6.9475,15.9612,0.6305
2020/03/11,30.095,4.328082,1.13145,105.055,1.29175,0.6522,7.76705,6.95345,15.9834,0.63125
2020/03/12,30.15,4.314405,1.1305,103.665,1.28265,0.64575,7.7712,6.9882,16.3743,0.62745
2020/03/13,30.21,4.311481,1.11935,105.865,1.2612,0.6286,7.76655,7.00685,16.3106,0.612
2020/03/16,30.22,4.308465,1.1186,106.555,1.23585,0.6173,7.7653,7.0141,16.53155,0.6038
2020/03/17,30.25,4.309385,1.11425,106.925,1.2227,0.6091,7.76535,7.01955,16.48065,0.60435
2020/03/18,30.276,4.296013,1.0986,107.335,1.2043,0.5962,7.76725,7.04745,16.7624,0.58935
2020/03/19,30.506,4.282432,1.082,109.17,1.148,0.5683,7.76295,7.1235,17.4708,0.56175
2020/03/20,30.302,4.278976,1.0777,109.655,1.18145,0.59435,7.75695,7.0816,17.1728,0.5837
2020/03/23,30.405,4.257491,1.0691,110.135,1.16085,0.5786,7.75575,7.14155,17.83985,0.5651
2020/03/24,30.316,4.276921,1.0837,110.655,1.165,0.5955,7.75545,7.0883,17.68235,0.58255
2020/03/25,30.325,4.260996,1.0808,111.53,1.18305,0.6037,7.7547,7.1169,17.3912,0.5877
2020/03/26,30.306,4.262327,1.0934,110.415,1.1927,0.5954,7.7538,7.1102,17.4674,0.5852
2020/03/27,30.236,4.255929,1.1036,108.715,1.2219,0.6086,7.75175,7.10445,17.49725,0.5966
2020/03/30,30.25,4.257173,1.10715,107.865,1.2365,0.61365,7.7533,7.10565,17.8245,0.6011
2020/03/31,30.254,4.259582,1.09975,108.315,1.23185,0.61675,7.7536,7.1026,17.9653,0.59955
2020/04/01,30.308,4.259365,1.0956,107.665,1.236,0.6075,7.75155,7.1156,18.00385,0.5907
2020/04/06,30.231,4.254167,1.081,109.195,1.22925,0.6049,7.75345,7.1062,19.0749,0.59065
2020/04/07,30.152,4.267201,1.08655,108.885,1.23295,0.6183,7.7532,7.066,18.3572,0.5999
2020/04/08,30.16,4.263206,1.0857,108.805,1.2306,0.61405,7.75235,7.0745,18.3854,0.5951
2020/04/09,30.152,4.266659,1.08715,108.935,1.23985,0.6228,7.75395,7.0669,18.0775,0.60115
2020/04/10,30.103,4.271796,1.0947,108.38,1.24755,0.6349,7.75305,7.0469,17.9838,0.608
2020/04/13,30.12,4.268456,1.0938,107.975,1.2506,0.63455,7.75225,7.0564,18.0685,0.608
2020/04/14,30.071,4.260309,1.0921,107.595,1.2574,0.6409,7.7513,7.0584,18.0043,0.611
2020/04/15,30.031,4.249867,1.0937,107.365,1.2512,0.63375,7.75085,7.06635,18.57905,0.60275
2020/04/16,30.12,4.253516,1.08755,107.815,1.2487,0.62925,7.75065,7.0812,18.61035,0.5963
2020/04/17,30.102,4.250342,1.08225,107.855,1.24365,0.6324,7.75095,7.08225,18.77755,0.5976
2020/04/20,30.072,4.245866,1.0864,107.73,1.24495,0.63655,7.75055,7.08265,18.92085,0.6055
2020/04/21,30.102,4.240168,1.08235,107.395,1.23935,0.6299,7.75005,7.09925,19.03735,0.59805
2020/04/22,30.1,4.242354,1.086,107.615,1.2322,0.6339,7.7503,7.0951,18.89585,0.5991
2020/04/23,30.072,4.241926,1.0795,107.615,1.2332,0.63365,7.7508,7.08925,19.0305,0.597
2020/04/24,30.08,4.242634,1.0749,107.685,1.2316,0.6353,7.75105,7.08995,19.0505,0.5989
2020/04/27,30.025,4.237068,1.0843,107.225,1.2433,0.6449,7.75005,7.08625,18.91735,0.60545
2020/04/28,30.036,4.235557,1.0846,107.025,1.2468,0.64845,7.75115,7.0914,18.756,0.6033
2020/04/29,29.951,4.229381,1.08655,106.465,1.2442,0.65275,7.75015,7.08165,18.48885,0.6098
2020/04/30,29.802,4.220917,1.08795,106.67,1.24655,0.65465,7.75095,7.06055,18.11545,0.6123
