,low,high,open,close,up_and_down,volume,USA_rate,CHINA_rate,date
0,97.5,98.5,98.0,97.5,1.0,41316418.0,30.006,4.837570735324939,2013-04-09
1,97.7,98.8,98.8,98.3,1.0,36746778.0,29.991999999999997,4.842300706357215,2013-04-10
2,98.8,101.5,99.0,101.5,0.0,57867486.0,29.930999999999997,4.829683894599261,2013-04-11
3,100.0,101.5,101.5,100.5,0.0,19568004.0,29.935,4.8357914802190525,2013-04-12
4,99.1,101.0,100.5,99.4,1.0,23440616.0,29.93,4.837210805743885,2013-04-15
5,98.2,101.0,98.2,100.5,0.0,35918924.0,29.909000000000002,4.836435374589674,2013-04-16
6,99.7,101.5,101.5,100.0,0.0,35897101.0,29.854,4.835791400409813,2013-04-17
7,99.4,101.0,100.0,99.9,1.0,33083804.0,29.878,4.834471376330863,2013-04-18
8,105.5,106.5,105.5,106.5,1.0,66950314.0,29.818,4.825504713355181,2013-04-19
9,107.5,109.5,108.5,108.5,0.0,72502228.0,29.801,4.821700158560657,2013-04-22
10,105.5,107.5,106.5,106.0,0.0,46146072.0,29.820999999999998,4.827669942205889,2013-04-23
11,104.5,107.0,106.5,106.0,1.0,35495750.0,29.789,4.822255317771231,2013-04-24
12,105.5,107.0,106.0,107.0,1.0,26287666.0,29.701,4.814244497033747,2013-04-25
13,107.0,109.0,107.0,108.5,0.0,36776724.0,29.609,4.803770462546847,2013-04-26
14,107.5,108.5,108.5,108.0,1.0,21092377.0,29.56,4.794809407948094,2013-04-29
15,108.5,109.5,108.5,109.5,1.0,34612725.0,29.478,4.781508515815085,2013-04-30
16,109.0,111.0,110.0,110.5,0.0,38796887.0,29.525,4.797653577725238,2013-05-02
17,110.0,112.5,111.5,110.0,1.0,36621737.0,29.531999999999996,4.797115103472921,2013-05-03
18,110.5,111.5,111.5,111.5,1.0,19393798.0,29.503,4.791314797973236,2013-05-06
19,111.0,113.0,112.0,112.5,1.0,22448180.0,29.535,4.796316896319333,2013-05-07
20,112.5,115.0,112.5,114.5,1.0,42509709.0,29.443,4.7928180168154775,2013-05-08
21,114.5,116.0,116.0,115.0,0.0,27606177.0,29.399,4.7932240419339855,2013-05-09
22,113.5,115.0,115.0,114.5,0.0,27536736.0,29.6,4.820454360394105,2013-05-10
23,114.0,115.5,115.0,114.5,1.0,18263266.0,29.864,4.858304864161379,2013-05-13
24,115.0,116.5,115.5,115.5,0.0,27855127.0,29.82,4.854463762453604,2013-05-14
25,113.5,116.0,115.0,115.0,0.0,29107560.0,29.862,4.85876993166287,2013-05-15
26,113.0,116.0,115.0,113.5,0.0,45770439.0,29.92,4.866306681413051,2013-05-16
27,111.5,113.5,112.0,113.5,1.0,19316452.0,29.973000000000003,4.88155633911776,2013-05-17
28,112.5,114.0,112.5,114.0,0.0,16882054.0,29.964000000000002,4.88013029315961,2013-05-20
29,112.0,113.5,113.0,112.5,0.0,17238193.0,29.816,4.862004582181672,2013-05-21
30,111.0,113.5,112.5,112.0,0.0,34068421.0,29.791999999999998,4.857615705073332,2013-05-22
31,108.0,111.5,110.5,108.0,1.0,46874809.0,29.951999999999998,4.882867902381767,2013-05-23
32,108.5,110.5,109.5,109.5,1.0,26736102.0,29.949,4.886282059648894,2013-05-24
33,109.5,112.0,109.5,112.0,0.0,19161396.0,29.866999999999997,4.875528493772343,2013-05-27
34,109.5,112.5,112.0,109.5,1.0,22762131.0,29.904,4.884757999967331,2013-05-28
35,110.5,112.0,110.5,111.0,0.0,16781832.0,29.954,4.887576281695657,2013-05-29
36,109.5,111.5,111.0,110.0,0.0,36121568.0,29.97,4.89002741156507,2013-05-30
37,109.0,111.5,111.5,109.5,0.0,37205933.0,29.953000000000003,4.880842777646513,2013-05-31
38,106.5,108.5,108.0,107.5,1.0,35834419.0,29.948,4.883569238797208,2013-06-03
39,107.5,110.0,109.0,109.0,1.0,27476915.0,29.903000000000002,4.878498421580703,2013-06-04
40,108.5,110.5,109.5,109.5,0.0,25581235.0,29.872,4.875230525680153,2013-06-05
41,107.0,109.5,108.5,107.5,1.0,34251239.0,29.791999999999998,4.858566338054583,2013-06-06
42,108.0,109.5,108.0,108.5,0.0,33085685.0,29.67,4.834018980896909,2013-06-07
43,108.0,110.0,110.0,108.5,0.0,21941087.0,29.819000000000003,4.861661367897612,2013-06-10
44,108.0,110.0,110.0,108.0,0.0,37162875.0,29.921999999999997,4.878454389826363,2013-06-11
45,104.0,107.0,106.0,104.5,1.0,61059253.0,29.941,4.87662263628516,2013-06-13
46,104.5,106.0,105.0,106.0,0.0,41207256.0,29.88,4.870614124454949,2013-06-14
47,105.0,106.0,105.5,106.0,1.0,23014898.0,29.88,4.8776506309277,2013-06-17
48,104.5,106.5,105.0,106.5,0.0,31676097.0,29.91,4.879202623121972,2013-06-18
49,105.0,106.5,106.0,105.5,0.0,22084611.0,29.91,4.879401616679037,2013-06-19
50,103.5,105.5,105.0,104.0,0.0,29998376.0,29.962,4.888562571381955,2013-06-20
51,101.5,103.5,102.0,103.5,0.0,39844187.0,30.066999999999997,4.902254903559258,2013-06-21
52,100.0,102.5,102.5,101.0,0.0,54091378.0,30.114,4.906598017091789,2013-06-24
53,101.0,103.0,101.0,101.0,1.0,33897665.0,30.165,4.906513553298254,2013-06-25
54,101.5,104.0,103.0,101.5,1.0,55865189.0,30.093000000000004,4.894881950600617,2013-06-26
55,103.0,105.0,103.0,104.5,1.0,46982476.0,30.021,4.881622166574523,2013-06-27
56,105.0,111.0,106.0,111.0,0.0,74514857.0,30.116999999999997,4.901057770545159,2013-06-28
57,108.0,109.5,109.0,108.0,1.0,51935015.0,29.987,4.892082809925445,2013-07-01
58,108.5,110.0,109.0,110.0,0.0,44982283.0,30.002,4.892853648194657,2013-07-02
59,105.5,107.0,107.0,107.0,0.0,44740088.0,30.061999999999998,4.902119055190013,2013-07-03
60,106.0,107.0,106.5,107.0,1.0,24500705.0,30.038,4.903122602549663,2013-07-04
61,107.0,109.5,107.5,109.0,0.0,28276621.0,30.045,4.901225102363747,2013-07-05
62,104.5,108.0,107.0,105.0,1.0,32770668.0,30.14,4.909514423938362,2013-07-08
63,103.5,106.5,104.5,106.0,0.0,35511970.0,30.101999999999997,4.9098026423095735,2013-07-09
64,104.5,107.0,104.5,106.0,1.0,22082402.0,30.061999999999998,4.900321124097347,2013-07-10
65,107.5,109.5,107.5,109.5,1.0,56918428.0,29.869,4.870130928894034,2013-07-11
66,108.5,110.0,109.5,110.0,0.0,31046000.0,29.891,4.8675275611066775,2013-07-12
67,108.0,109.5,108.5,109.5,0.0,33373340.0,29.883000000000003,4.8702695655008315,2013-07-15
68,107.0,109.0,108.5,108.0,1.0,35961041.0,29.838,4.862578936646975,2013-07-16
69,107.0,109.0,108.0,109.0,0.0,40121705.0,29.799,4.859628666248094,2013-07-17
70,105.5,108.0,107.5,105.5,0.0,53223397.0,29.935,4.875883636837476,2013-07-18
71,98.2,99.7,99.4,98.2,0.0,123330486.0,29.93,4.875307455490218,2013-07-19
72,96.9,98.4,98.0,97.0,1.0,88048437.0,29.91,4.873955057278342,2013-07-22
73,98.5,101.5,98.5,100.0,1.0,85595131.0,29.886,4.867981691723812,2013-07-23
74,100.0,103.0,100.5,102.0,1.0,58355933.0,29.905,4.872902069415024,2013-07-24
75,101.0,103.5,102.0,102.5,0.0,37559307.0,29.965999999999998,4.8826428775102855,2013-07-25
76,101.0,103.0,103.0,102.5,0.0,31817666.0,29.901999999999997,4.875591064731779,2013-07-26
77,100.0,101.5,100.0,100.0,1.0,38334123.0,29.934,4.882162021104823,2013-07-29
78,100.5,102.5,100.5,102.0,1.0,33871602.0,29.949,4.882816639629579,2013-07-30
79,101.0,103.0,101.5,102.5,0.0,36997795.0,29.976999999999997,4.889813228937281,2013-07-31
80,100.0,102.0,102.0,100.5,0.0,32509794.0,29.979,4.893651752338355,2013-08-01
81,100.0,103.0,102.5,100.5,0.0,28039940.0,29.994,4.8923069394945236,2013-08-02
82,99.9,101.5,100.0,100.5,0.0,23372612.0,29.945,4.887383711441162,2013-08-05
83,98.6,100.5,100.5,98.8,0.0,42787275.0,29.948,4.89114635221872,2013-08-06
84,97.0,98.5,98.5,97.0,0.0,45969616.0,29.945999999999998,4.891938250428816,2013-08-07
85,95.3,97.1,96.0,96.4,0.0,55873275.0,29.929000000000002,4.893757920124269,2013-08-08
86,96.4,100.0,100.0,96.4,0.0,47192333.0,29.93,4.893521357040671,2013-08-09
87,95.6,96.7,96.4,96.0,1.0,33454945.0,29.945999999999998,4.893936917797025,2013-08-12
